+-------+-------+-------------------+
|  code1|  code2|         similarity|
|ACTU286|AHSC330|0.15811388300841897|
|ACTU286|BIOL457|0.15075567228888181|
|ACTU458|BIOL322| 0.1091089451179962|
|ADED201|ADED202| 0.2886751345948129|
|ADED201|ADED410|               0.25|
|ADED201|ADED496|0.20412414523193154|
|ADED201|ADED497|0.22360679774997896|
|ADED201|AHSC350|               0.25|
|ADED201|ARTE424|               0.25|
|ADED201|ARTE434| 0.1889822365046136|
|ADED201|ARTH383|0.35355339059327373|
|ADED201|BIOL421|               0.25|
|ADED220|ADED344|0.40824829046386296|
|ADED220|ADED410|0.17677669529663687|
|ADED220|ADED496|0.14433756729740646|
|ADED220|ADED497|0.15811388300841897|
|ADED220|AHSC225|0.17677669529663687|
|ADED220|AHSC360|0.17677669529663687|
|ADED220|AHSC422|0.15811388300841897|
|ADED220|AHSC435|0.15811388300841897|
|ADED220|AHSC439|0.17677669529663687|
|ADED220|AHSC445|0.17677669529663687|
|ADED220|AHSC470|0.20412414523193148|
|ADED220|ANTH212|0.15811388300841897|
|ADED220|ANTH303|0.10660035817780521|
|ADED220|ANTH345|0.20412414523193148|
|ADED220|ANTH430|0.11180339887498948|
|ADED220|ANTH433| 0.1178511301977579|
|ADED220|ANTH462|0.10206207261596574|
|ADED220|ARTE230|0.17677669529663687|
|ADED220|ARTE340|0.14433756729740646|
|ADED220|ARTE420|0.20412414523193148|
|ADED220|ARTE424|0.17677669529663687|
|ADED220|ARTE425|0.14433756729740646|
|ADED220|ARTT470|0.17677669529663687|
|ADED220|ARTT471|0.17677669529663687|
|ADED220|ARTT472|0.17677669529663687|
|ADED220|BIOL201|0.09128709291752767|
|ADED220|BIOL202|0.10660035817780521|
|ADED220|BIOL225|0.09805806756909201|
|ADED220|BIOL227| 0.0944911182523068|
|ADED220|BIOL330|0.08333333333333333|
|ADED220|BIOL337|0.13363062095621217|
|ADED220|BIOL340| 0.1178511301977579|
|ADED220|BIOL382|0.14433756729740646|
|ADED344|ADED410| 0.2886751345948129|
|ADED344|ADED496|0.23570226039551587|
|ADED344|ADED497| 0.2581988897471611|
|ADED344|AHSC225| 0.2886751345948129|
|ADED344|AHSC360| 0.2886751345948129|
|ADED344|AHSC435| 0.2581988897471611|
|ADED344|AHSC439| 0.2886751345948129|
|ADED344|AHSC470|0.33333333333333337|
|ADED344|ARTE230| 0.2886751345948129|
|ADED344|ARTE340|0.23570226039551587|
|ADED344|ARTE420|0.33333333333333337|
|ADED344|ARTE424| 0.2886751345948129|
|ADED344|ARTE425|0.23570226039551587|
|ADED344|ARTT470| 0.2886751345948129|
|ADED344|ARTT471| 0.2886751345948129|
|ADED344|ARTT472| 0.2886751345948129|
|ADED345|AHSC230| 0.2357022603955158|
|ADED345|AHSC425|0.35355339059327373|
+-------+-------+-------------------+
only showing top 200 rows
